committee_id,contributor_id,contribution_receipt_amount
C00068353,C00011114,2500.0
C00068353,C00033779,1000.0
C00068353,C00078451,5000.0
C00068353,C00096156,4000.0
C00068353,C00141242,1000.0
C00068353,C00168070,2000.0
C00068353,C00248716,500.0
C00068353,C00325092,3000.0
C00068353,C00331694,5000.0
C00068353,C00348607,5000.0
C00068353,C00403592,5000.0
C00068353,C00411116,2500.0
C00068353,C00416743,5000.0
C00068353,C00421230,1000.0
C00068353,C00439992,5000.0
C00068353,C00493700,5000.0
C00068353,C00539601,5000.0
C00068353,C00654475,2500.0
C00068353,C00762427,2100.0
C00068353,C00767871,2100.0
C00068353,C00795252,883.15
C00230482,C00000422,5000.0
C00230482,C00000901,5000.0
C00230482,C00001198,5000.0
C00230482,C00002261,5000.0
C00230482,C00002881,2500.0
C00230482,C00002972,5000.0
C00230482,C00003764,2500.0
C00230482,C00003855,4000.0
C00230482,C00004275,5000.0
C00230482,C00004473,1000.0
C00230482,C00004812,2500.0
C00230482,C00004879,2500.0
C00230482,C00005249,5000.0
C00230482,C00005660,3000.0
C00230482,C00007880,10000.0
C00230482,C00008474,2000.0
C00230482,C00009423,5000.0
C00230482,C00009985,5000.0
C00230482,C00010082,5000.0
C00230482,C00010421,5000.0
C00230482,C00010470,5000.0
C00230482,C00010983,1000.0
C00230482,C00012328,2000.0
C00230482,C00012880,5000.0
C00230482,C00012914,4000.0
C00230482,C00016386,1000.0
C00230482,C00016683,5000.0
C00230482,C00017525,2500.0
C00230482,C00021295,1000.0
C00230482,C00022343,2500.0
C00230482,C00022368,1000.0
C00230482,C00024968,5000.0
C00230482,C00030718,5000.0
C00230482,C00030809,5000.0
C00230482,C00034132,1500.0
C00230482,C00034157,5000.0
C00230482,C00034405,5000.0
C00230482,C00034488,2500.0
C00230482,C00034595,5000.0
C00230482,C00035006,2500.0
C00230482,C00035204,1800.0
C00230482,C00038604,5000.0
C00230482,C00039578,5000.0
C00230482,C00040279,2500.0
C00230482,C00040998,4000.0
C00230482,C00042002,1000.0
C00230482,C00046474,5000.0
C00230482,C00053553,4950.0
C00230482,C00059238,1000.0
C00230482,C00060087,2500.0
C00230482,C00062646,2500.0
C00230482,C00063164,2500.0
C00230482,C00064766,2500.0
C00230482,C00064774,5000.0
C00230482,C00066472,2000.0
C00230482,C00067231,5000.0
C00230482,C00068692,5000.0
C00230482,C00072025,5000.0
C00230482,C00076299,5000.0
C00230482,C00076810,5000.0
C00230482,C00077701,1000.0
C00230482,C00081414,2000.0
C00230482,C00082040,5000.0
C00230482,C00082917,2500.0
C00230482,C00088591,2500.0
C00230482,C00089086,6000.0
C00230482,C00089136,5000.0
C00230482,C00089458,5000.0
C00230482,C00093054,3500.0
C00230482,C00093963,3500.0
C00230482,C00096156,2500.0
C00230482,C00098061,6000.0
C00230482,C00101105,4000.0
C00230482,C00101485,2500.0
C00230482,C00102764,5000.0
C00230482,C00104901,2500.0
C00230482,C00105981,5000.0
C00230482,C00106146,5000.0
C00230482,C00107300,1000.0
C00230482,C00108035,2500.0
C00230482,C00109017,5000.0
C00230482,C00110338,5000.0
C00230482,C00110577,5000.0
C00230482,C00113241,5000.0
C00230482,C00114132,5000.0
C00230482,C00116996,2500.0
C00230482,C00118208,1000.0
C00230482,C00118943,5000.0
C00230482,C00119354,2500.0
C00230482,C00121319,5000.0
C00230482,C00121368,1250.0
C00230482,C00122499,1000.0
C00230482,C00125732,5000.0
C00230482,C00126763,5000.0
C00230482,C00127779,10000.0
C00230482,C00128918,3500.0
C00230482,C00132092,5000.0
C00230482,C00140061,4000.0
C00230482,C00142711,5000.0
C00230482,C00144766,5000.0
C00230482,C00147066,5000.0
C00230482,C00148031,5000.0
C00230482,C00149104,2500.0
C00230482,C00158881,5000.0
C00230482,C00160770,5000.0
C00230482,C00163253,2500.0
C00230482,C00164145,5000.0
C00230482,C00164939,1000.0
C00230482,C00166348,1000.0
C00230482,C00167684,1000.0
C00230482,C00171330,2500.0
C00230482,C00171504,2000.0
C00230482,C00171926,2500.0
C00230482,C00172841,1000.0
C00230482,C00173393,1000.0
C00230482,C00177469,3000.0
C00230482,C00185520,2500.0
C00230482,C00186288,5000.0
C00230482,C00187526,1500.0
C00230482,C00193631,2500.0
C00230482,C00193854,4000.0
C00230482,C00194746,2500.0
C00230482,C00197228,5000.0
C00230482,C00197749,2500.0
C00230482,C00199257,3000.0
C00230482,C00200329,5000.0
C00230482,C00201871,2500.0
C00230482,C00204099,5000.0
C00230482,C00204453,1000.0
C00230482,C00207258,1000.0
C00230482,C00210666,1500.0
C00230482,C00213173,2000.0
C00230482,C00219444,5000.0
C00230482,C00225342,1000.0
