Committee1,Committee2,CommonContributors
C00068353,C00230482,2
C00068353,C00257642,15
C00068353,C00308676,12
C00068353,C00330886,3
C00068353,C00346312,13
C00068353,C00384529,7
C00068353,C00409581,4
C00068353,C00458315,3
C00068353,C00458398,11
C00068353,C00459255,6
C00068353,C00464602,1
C00068353,C00466482,1
C00068353,C00473371,4
C00068353,C00473827,2
C00068353,C00476317,5
C00068353,C00482984,2
C00068353,C00492991,14
C00068353,C00540302,5
C00068353,C00540732,13
C00068353,C00573758,12
C00068353,C00574889,14
C00068353,C00575548,17
C00068353,C00588772,13
C00068353,C00590489,9
C00068353,C00608398,6
C00068353,C00614776,1
C00068353,C00620518,4
C00068353,C00696526,11
C00068353,C00736876,9
C00068353,C00765164,12
C00068353,C00765800,9
C00068353,C00775015,1
C00068353,C00777771,8
C00068353,C00777904,10
C00068353,C00781443,2
C00068353,C00783142,1
C00068353,C00783274,2
C00068353,C00784959,8
C00068353,C00795252,11
C00068353,C00810754,2
C00230482,C00257642,98
C00230482,C00304758,6
C00230482,C00308676,116
C00230482,C00330886,151
C00230482,C00346312,108
C00230482,C00384529,139
C00230482,C00409581,203
C00230482,C00458315,151
C00230482,C00458398,38
C00230482,C00459255,163
C00230482,C00460063,2
C00230482,C00464602,12
C00230482,C00466482,126
C00230482,C00473371,104
C00230482,C00473827,76
C00230482,C00476317,145
C00230482,C00482984,82
C00230482,C00492991,55
C00230482,C00496075,60
C00230482,C00498345,4
C00230482,C00540302,164
C00230482,C00540732,52
C00230482,C00543231,1
C00230482,C00573758,56
C00230482,C00574889,80
C00230482,C00575548,108
C00230482,C00588772,109
C00230482,C00590489,2
C00230482,C00591065,1
C00230482,C00608398,88
C00230482,C00614776,107
C00230482,C00620518,113
C00230482,C00696526,37
C00230482,C00711010,24
C00230482,C00734731,1
C00230482,C00736876,34
C00230482,C00765164,45
C00230482,C00765800,3
C00230482,C00769745,1
C00230482,C00772954,1
C00230482,C00775015,76
C00230482,C00775510,1
C00230482,C00776765,28
C00230482,C00777771,6
C00230482,C00777904,2
C00230482,C00781443,87
C00230482,C00783142,55
C00230482,C00784165,32
C00230482,C00784959,2
C00230482,C00787135,41
C00230482,C00787853,41
C00230482,C00790550,1
C00230482,C00791186,39
C00230482,C00795252,34
C00230482,C00795930,48
C00230482,C00800268,1
C00230482,C00800532,1
C00230482,C00804377,11
C00230482,C00807222,3
C00230482,C00809699,2
C00257642,C00308676,184
C00257642,C00330886,101
C00257642,C00346312,165
C00257642,C00384529,131
C00257642,C00409581,133
C00257642,C00458315,103
C00257642,C00458398,93
C00257642,C00459255,129
C00257642,C00460063,1
C00257642,C00464602,5
C00257642,C00466482,94
C00257642,C00473371,58
C00257642,C00473827,44
C00257642,C00476317,102
C00257642,C00482984,28
C00257642,C00492991,111
C00257642,C00496075,32
C00257642,C00498345,1
C00257642,C00502575,1
C00257642,C00540302,133
C00257642,C00540732,116
C00257642,C00573758,111
C00257642,C00574889,130
C00257642,C00575548,189
C00257642,C00588772,191
C00257642,C00590489,49
C00257642,C00591065,1
C00257642,C00608398,47
C00257642,C00614776,44
C00257642,C00620518,84
C00257642,C00696526,98
C00257642,C00726018,7
C00257642,C00736876,97
C00257642,C00765164,92
C00257642,C00765800,70
C00257642,C00769901,1
C00257642,C00775015,21
C00257642,C00775510,1
C00257642,C00777771,83
C00257642,C00777904,77
C00257642,C00778993,1
C00257642,C00781443,57
C00257642,C00783142,10
C00257642,C00783274,10
C00257642,C00784165,1
C00257642,C00784959,69
C00257642,C00785279,1
C00257642,C00787135,2
C00257642,C00787853,3
C00257642,C00790469,4
C00257642,C00790758,3
C00257642,C00791186,3
C00257642,C00791525,10
C00257642,C00795252,62
C00257642,C00795930,5
C00257642,C00802959,2
C00257642,C00810754,13
C00257642,C00815019,1
C00264697,C00308676,1
C00264697,C00466482,1
C00264697,C00496075,1
C00264697,C00575548,1
C00304758,C00330886,3
C00304758,C00384529,5
C00304758,C00409581,2
C00304758,C00458315,1
C00304758,C00459255,2
C00304758,C00466482,1
C00304758,C00473371,3
C00304758,C00473827,3
C00304758,C00476317,4
C00304758,C00482984,3
C00304758,C00496075,1
C00304758,C00540302,2
C00304758,C00608398,2
C00304758,C00614776,3
C00304758,C00711010,2
C00304758,C00769745,1
C00304758,C00775015,4
C00304758,C00776765,4
C00304758,C00781443,3
C00304758,C00783142,4
C00304758,C00784165,2
C00304758,C00787135,5
C00304758,C00787853,3
C00304758,C00791186,2
C00304758,C00795930,5
C00304758,C00800532,1
C00304758,C00804377,3
C00308676,C00330886,126
C00308676,C00346312,182
C00308676,C00384529,149
C00308676,C00409581,178
C00308676,C00458315,117
C00308676,C00458398,75
C00308676,C00459255,154
C00308676,C00460063,1
C00308676,C00464602,3
C00308676,C00466482,103
C00308676,C00473371,69
C00308676,C00473827,47
C00308676,C00476317,106
C00308676,C00482984,38
C00308676,C00492991,101
C00308676,C00494930,1
C00308676,C00496075,36
C00308676,C00498345,1
C00308676,C00502575,1
C00308676,C00540302,142
C00308676,C00540732,97
C00308676,C00573758,98
C00308676,C00574889,109
C00308676,C00575548,182
C00308676,C00588772,169
C00308676,C00590489,32
C00308676,C00591065,1
C00308676,C00608398,45
C00308676,C00614776,62
C00308676,C00620518,99
C00308676,C00696526,78
C00308676,C00711010,1
C00308676,C00726018,3
C00308676,C00736876,70
C00308676,C00765164,87
C00308676,C00765800,47
C00308676,C00769901,2
C00308676,C00775015,27
C00308676,C00776765,1
C00308676,C00777771,55
C00308676,C00777904,51
C00308676,C00778993,1
C00308676,C00781443,64
C00308676,C00783142,16
C00308676,C00783274,9
C00308676,C00784165,3
C00308676,C00784959,46
C00308676,C00787135,4
C00308676,C00787853,4
C00308676,C00790469,1
C00308676,C00790758,3
C00308676,C00791186,8
C00308676,C00791525,9
C00308676,C00795252,51
C00308676,C00795930,10
C00308676,C00802959,2
C00308676,C00810754,10
C00330886,C00346312,120
C00330886,C00384529,129
C00330886,C00409581,201
C00330886,C00458315,143
C00330886,C00458398,29
C00330886,C00459255,172
C00330886,C00464602,7
C00330886,C00466482,122
C00330886,C00473371,99
C00330886,C00473827,70
C00330886,C00476317,136
C00330886,C00482984,63
C00330886,C00492991,43
C00330886,C00494930,1
C00330886,C00496075,52
C00330886,C00498345,3
C00330886,C00502575,1
C00330886,C00504019,1
C00330886,C00540302,196
C00330886,C00540732,39
C00330886,C00573758,60
C00330886,C00574889,73
C00330886,C00575548,115
C00330886,C00588772,101
C00330886,C00590489,1
C00330886,C00591065,1
C00330886,C00608398,84
C00330886,C00614776,96
C00330886,C00620518,111
C00330886,C00696526,27
C00330886,C00711010,19
C00330886,C00734731,1
C00330886,C00736876,16
C00330886,C00765164,48
C00330886,C00765800,2
C00330886,C00772954,1
C00330886,C00774570,1
C00330886,C00775015,61
C00330886,C00776765,27
C00330886,C00777771,4
C00330886,C00781443,80
C00330886,C00783142,53
C00330886,C00784165,26
C00330886,C00784959,1
C00330886,C00787135,40
C00330886,C00787853,35
C00330886,C00790550,1
C00330886,C00791186,27
C00330886,C00795252,23
C00330886,C00795930,41
C00330886,C00800268,1
C00330886,C00800532,1
C00330886,C00804377,7
C00330886,C00807222,2
C00330886,C00809699,2
C00346312,C00384529,125
C00346312,C00409581,159
C00346312,C00458315,116
C00346312,C00458398,78
C00346312,C00459255,155
C00346312,C00460063,1
C00346312,C00464602,5
C00346312,C00466482,98
C00346312,C00473371,62
C00346312,C00473827,50
C00346312,C00476317,107
C00346312,C00482984,38
C00346312,C00492991,96
C00346312,C00496075,35
C00346312,C00498345,2
C00346312,C00502575,1
C00346312,C00540302,149
C00346312,C00540732,94
C00346312,C00573758,105
C00346312,C00574889,114
C00346312,C00575548,173
C00346312,C00588772,163
C00346312,C00590489,29
C00346312,C00591065,1
C00346312,C00608398,53
C00346312,C00614776,58
C00346312,C00620518,100
C00346312,C00696526,79
C00346312,C00711010,1
C00346312,C00726018,7
C00346312,C00736876,72
C00346312,C00765164,85
C00346312,C00765800,48
C00346312,C00769901,1
C00346312,C00775015,28
C00346312,C00776765,2
C00346312,C00777771,54
C00346312,C00777904,47
C00346312,C00778993,1
