committee_id,committee_name
C00464602,VICKY HARTZLER FOR SENATE
C00784165,BLAKE MASTERS FOR SENATE
C00620518,MARCO RUBIO FOR SENATE
C00795930,DOCTOR OZ FOR SENATE
C00498345,MULLIN FOR AMERICA
C00657411,CONOR LAMB FOR SENATE
C00800623,DAVE MCCORMICK FOR US SENATE
C00787853,"TEAM HERSCHEL, INC"
C00775015,SCHMITT FOR SENATE
C00482984,"RON JOHNSON FOR SENATE, INC."
C00774059,GREITENS FOR US SENATE
C00330886,MIKE CRAPO FOR US SENATE
C00769471,BARTOS FOR US SENATE INC
C00459255,"FRIENDS OF TODD YOUNG, INC."
C00304758,FRIENDS OF ROY BLUNT
C00573758,VAN HOLLEN FOR SENATE
C00711010,"BOLDUC 2022, INC."
C00575548,CATHERINE CORTEZ MASTO FOR SENATE
C00458315,MORAN FOR KANSAS
C00614776,TED BUDD FOR SENATE
C00476317,BOOZMAN FOR ARKANSAS
C00384529,LISA MURKOWSKI FOR US SENATE
C00574889,TAMMY FOR ILLINOIS
C00815019,CHESBRO FOR ALASKA
C00777904,CHERI BEASLEY FOR NORTH CAROLINA
C00696526,MARK KELLY FOR SENATE
C00257642,PEOPLE FOR PATTY MURRAY
C00784959,MANDELA BARNES FOR WISCONSIN
C00765800,FETTERMAN FOR PA
C00787135,LAXALT FOR SENATE
C00765131,AMERICAN CONSTITUTIONAL CONSERVATIVE COMMITTEE FOR DAVID BIERY
C00777771,TIM RYAN FOR OHIO
C00588772,MAGGIE FOR NH
C00783142,JD VANCE FOR SENATE INC.
C00736876,WARNOCK FOR GEORGIA
C00582635,JO RAE PERKINS FOR US SENATE
C00791525,"MICHAEL FRANKEN FOR IOWA, INC"
C00590489,VAL DEMINGS FOR U.S. SENATE
C00346312,FRIENDS OF SCHUMER
C00540302,TIM SCOTT FOR SENATE
C00608398,JOHN KENNEDY FOR US
C00765164,ALEX PADILLA FOR SENATE
C00734731,FRIENDS FOR KATHY BARNETTE
C00230482,"GRASSLEY COMMITTEE, INC."
C00473371,HOEVEN FOR SENATE
C00776765,SMILEY FOR WASHINGTON INC.
C00807222,KATHY SALVI FOR US SENATE
C00783274,BOOKER FOR KENTUCKY
C00810754,TRUDY BUSCH VALENTINE FOR SENATE
C00409581,FRIENDS OF JOHN THUNE
C00785733,MARK MEUSER FOR U.S. SENATE
C00458398,BENNET FOR COLORADO
C00800268,JOE PINION FOR US SENATE INC
C00808162,DAVID ROTH FOR US SENATE
C00792267,BRIAN BENGS FOR SENATE
C00781443,BRITT FOR ALABAMA INC
C00795252,WELCH FOR VERMONT
C00496075,RAND PAUL FOR US SENATE
C00466482,FAMILIES FOR JAMES LANKFORD
C00791186,JOE O'DEA FOR SENATE
C00614115,NELSON FOR WISCONSIN
C00308676,WYDEN FOR SENATE
C00774570,KELLY FOR ALASKA
C00802959,KATRINA FOR SENATE
C00726018,MCDERMOTT FOR INDIANA
C00473827,FRIENDS OF MIKE LEE INC
C00540732,SCHATZ FOR SENATE
C00763565,CHAMBERS FOR LOUISIANA
C00792184,OKLAHOMANS FOR MADISON
C00796425,MARC J. VICTOR FOR SENATE
C00460063,BILLY LONG FOR SENATE
C00770529,STRAUSS FOR 22
C00068353,LEAHY FOR U.S. SENATOR COMMITTEE
C00822452,BLUE QUADS VICTORY FUND
C00492991,BLUMENTHAL FOR CONNECTICUT
C00790758,LUKE MIXON FOR US SENATE
C00804377,"LEORA LEVY FOR U.S. SENATE, INC."
C00730820,WESTON FOR UTAH
C00779967,MARK MCCLOSKEY FOR MISSOURI
C00809699,"GERALD MALLOY FOR US SENATE, LIMITED"
C00591065,DWIGHT EVANS FOR CONGRESS
C00504019,RICK W. ALLEN FOR CONGRESS
C00458463,PORTMAN FOR SENATE COMMITTEE
C00803254,WILL BOYD FOR SENATE
C00822734,FRIENDS OF RICK BECKER
C00264697,FRIENDS OF SHERROD BROWN
C00778993,JAMES FOR ARKANSAS
C00790469,HOLLAND FOR KANSAS
C00785279,ABBY FOR IOWA
C00543231,WALKER 4 NC
C00494930,"CITIZENS FOR JOSH MANDEL, INC."
C00775510,VAL ARKOOSH FOR US SENATE
C00769745,JANE TIMKEN FOR OHIO
C00790063,NATHAN DAHM FOR US SENATE
C00771972,LUCAS KUNCE FOR MISSOURI
C00772954,BRITT FOR AL SENATE REPUBLICAN NOMINEE FUND 2022
C00804120,THEMIS 2022 INC.
C00502575,DR. RAUL RUIZ FOR CONGRESS
C00769901,MALCOLM PAC
C00790550,MARJORIE K. EASTMAN FOR SENATE
C00800532,CHRISTINA NOLAN FOR U.S. SENATE
C00772962,WALKER FOR GA SENATE REPUBLICAN NOMINEE FUND 2022
